"reviewer","comment_id","comment_type","revision_package","main_manuscript_location","main_paragraph_excerpt_included","main_figure_included","main_table_excerpt_included","main_equation_included","supplement_location","supplement_paragraph_excerpt_included","supplement_figure_included","supplement_table_excerpt_included","local_references_included","scope_boundary_included","needs_manual_line_number","evidence_package_status","visible_scope_boundary_heading","response_word_count","response_expansion_status","revisions_made_style","nomenclature_updated","manuscript_modified","manual_review_priority","heading_term","evidence_wording_cleaned","nomenclature_cross_reference_removed","table1_symbol_column_removed","response_naturalized","r2_expanded","r2_supporting_material_enriched","r2_response_tone","contents_link_color","r1_10_reference_status","r1_15_broader_audience_status","doi_style","reference_display_cleaned","raw_cite_removed_from_response","implementation_tracking_sentence_removed","planning_scope_explained","closing_heading","closing_new_page","new_applied_energy_reference_added","doi_resolution_status"
"Reviewer 1","R1-11","ddpg_symbols_equations","DDPG formulation and reward correction","Section 2.4; Fig. 3","true","true","false","true","None","false","false","false","false","true","true","complete","false","224","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-12","figure_units","Code, data, figures, units, abbreviations, and readability","Figs. 4, 5, 9; Tables 1, 3, 6","false","true","true","false","SI tables and captions","true","false","true","false","true","true","complete","false","152","expanded","action_specific","false","true","medium","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-13","episode_definition","DDPG formulation and reward correction","Sections 2.4 and 3.2; Figs. 2 and 6","true","true","false","false","SI S3.1","true","false","false","false","true","true","complete","false","154","expanded","action_specific","false","true","medium","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-14","case_generality","Cross-climate sensitivity analysis","Sections 2.6, 3.5, 4.2, 4.3; Fig. 10; Table 6","true","true","false","false","SI S6.1-S6.3; Table S5","true","false","true","false","true","true","complete","false","289","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 1","R1-15","broader_audience","Manuscript reframing and readability","Abstract; Nomenclature; Introduction; Table 2; Discussion","true","false","true","false","SI S1-S6","false","false","false","false","true","true","complete","false","271","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 2","R2-1","analytic_workflow_reason","Analytic response-generation clarification","Sections 2.1-2.3; Table 2","true","false","true","false","SI S1.4","true","false","false","false","true","true","complete","false","292","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","true","true","detailed_conciliatory","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 2","R2-2","physical_probe_terminology","Physics-based cross-model stress test","Table 2; Sections 2.6 and 3.5","true","false","true","false","SI S5.3-S5.4","true","false","false","false","true","true","complete","false","258","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","true","true","detailed_conciliatory","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 2","R2-3","validation_insufficient","Physics-based cross-model stress test","Sections 2.6, 3.5, 4.2; Fig. 9; Table 6","true","true","true","false","SI S5.2-S5.4; Table S4","true","false","true","false","true","true","complete","false","252","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","true","true","detailed_conciliatory","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 2","R2-4","sample_generation_coverage","Sampling and descriptor-space coverage","Section 2.1; Section 3.1; Table 1; Fig. 4","true","true","false","false","SI S1.1-S1.5; Fig. S1; Table S2","true","true","true","false","true","true","complete","false","250","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","true","true","detailed_conciliatory","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 2","R2-5","rl_static_black_box","DDPG formulation and reward correction","Sections 1.2, 2.4, 3.2; Figs. 2, 3, 6","true","true","false","true","SI S3.1","true","false","false","false","true","true","complete","false","234","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","true","true","detailed_conciliatory","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 2","R2-6","evaluation_terms","Manuscript reframing and evaluation-mode clarification","Table 2; Sections 2.2, 2.6, 3.5, 4.2","true","false","true","false","None","false","false","false","false","true","true","complete","false","183","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","true","true","detailed_conciliatory","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 2","R2-7","objective_formulas","Analytic response-generation clarification","Section 2.2; Table 2","true","false","false","true","SI S1.4","false","false","false","false","true","true","complete","false","232","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","true","true","detailed_conciliatory","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 2","R2-8","reproducibility","Code and data availability","Data and code availability","true","false","false","false","README and reproducibility notes","false","false","false","false","true","true","complete","false","190","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","true","true","detailed_conciliatory","black_manual_check","updated","expanded","blue_roman","false","false","true","false","Closing Remark","true","true","resolved"
"Reviewer 3","R3-1","figure_typos","Code, data, figures, units, abbreviations, and readability","Figs. 1 and 3; captions","false","true","false","false","None","false","false","false","false","false","true","complete","false","110","expanded","action_specific","false","true","low","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 3","R3-2","benchmark_consistency","Optimizer output contracts and benchmark fairness","Sections 3.3 and 3.4; Table 5; Figs. 7 and 8","true","true","true","false","SI S3; SI S5","false","false","false","false","true","true","complete","false","159","expanded","action_specific","false","true","medium","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 3","R3-3","reward_equation","DDPG formulation and reward correction","Section 2.4; Fig. 3","true","false","false","true","None","false","false","false","false","true","true","complete","false","149","expanded","action_specific","false","true","medium","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 3","R3-4","units","Code, data, figures, units, abbreviations, and readability","Tables 1, 3, 5, 6; Figs. 4-10","false","true","true","false","SI Table S5","true","false","true","false","false","true","complete","false","116","expanded","action_specific","false","true","low","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 3","R3-5","analytic_physical_wording","Analytic response-generation clarification and physical stress-test boundary","Abstract; Sections 1-4; Table 2; Table 6","true","false","true","false","SI S1; SI S5.4","true","false","false","false","true","true","complete","false","285","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","false","Closing Remark","true","true","resolved"
"Reviewer 4","R4-1","study_necessity","Manuscript reframing and literature positioning","Sections 1.1-1.3; Discussion","true","false","false","false","None","false","false","false","true","true","true","complete","false","270","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","true","Closing Remark","true","true","resolved"
"Reviewer 4","R4-2","climate_zone","Cross-climate sensitivity analysis","Sections 2.6, 3.5, 4.2; Fig. 10; Table 6","true","true","false","false","SI S6.1-S6.3; Table S5","true","false","true","false","true","true","complete","false","271","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","true","Closing Remark","true","true","resolved"
"Reviewer 4","R4-3","energy_sources_ev_distributed","Energy-system scope and future work","Section 4.3; objective scope","true","false","false","false","None","false","false","false","false","true","true","complete","false","263","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","true","Closing Remark","true","true","resolved"
"Reviewer 4","R4-4","best_scenario","Optimizer output contracts and benchmark fairness","Sections 2.5, 3.3, 3.4; Tables 4-5; Figs. 7-8","true","true","true","false","SI S3; SI S5","false","false","false","false","true","true","complete","false","249","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","true","Closing Remark","true","true","resolved"
"Reviewer 4","R4-5","existing_approaches","Manuscript reframing and literature positioning","Sections 1.2, 4.1, 4.3","true","false","false","false","None","false","false","false","true","true","true","complete","false","253","expanded","action_specific","false","true","high","supporting_material","true","false","false","true","false","false","not_applicable","black_manual_check","updated","expanded","blue_roman","false","false","false","true","Closing Remark","true","true","resolved"
